density,density*u,density*v,density*w,energy
1.16,800.148,-0.000429566,-5.72205e-06,510824
1.16002,800.153,-0.00127704,-1.04904e-05,510827
1.16003,800.16,-0.00161562,-4.76837e-06,510833
1.16005,800.169,-0.00171904,-2.86102e-06,510840
1.16007,800.179,-0.00176068,3.8147e-06,510847
1.16008,800.188,-0.00182479,9.53674e-06,510855
1.1601,800.198,-0.00186481,5.72205e-06,510863
1.16012,800.208,-0.00181803,5.72205e-06,510870
1.16014,800.218,-0.0017497,-2.86102e-06,510878
1.16016,800.227,-0.00168704,-7.62939e-06,510885
1.16017,800.236,-0.00161031,0,510892
1.16019,800.245,-0.00152,3.8147e-06,510899
1.16021,800.253,-0.00139209,4.76837e-06,510905
1.16022,800.26,-0.00123868,3.8147e-06,510910
1.16023,800.266,-0.00107287,-5.72205e-06,510915
1.16024,800.271,-0.000943118,-5.72205e-06,510919
1.16025,800.276,-0.000846376,-9.53674e-07,510923
1.16026,800.281,-0.00075563,3.8147e-06,510926
1.16027,800.284,-0.000599885,1.04904e-05,510929
1.16027,800.287,-0.000429389,2.86102e-06,510932
1.16028,800.289,-0.000356797,-1.90735e-06,510933
1.16028,800.291,-0.000330029,9.53674e-07,510935
1.16028,800.293,-0.000264596,-9.53674e-07,510936
1.16028,800.294,-0.000159483,-5.72205e-06,510937
1.16029,800.294,-4.10484e-05,-1.04904e-05,510937
1.16001,800.15,-0.000847756,-3.8147e-06,510825
1.16002,800.154,-0.00285079,-1.52588e-05,510828
1.16003,800.161,-0.0040081,-1.43051e-05,510833
1.16005,800.169,-0.00444831,-7.62939e-06,510840
1.16007,800.179,-0.00459383,9.53674e-06,510847
1.16008,800.188,-0.00469729,1.90735e-05,510855
1.1601,800.198,-0.00475351,1.33514e-05,510863
1.16012,800.208,-0.00467877,8.58307e-06,510870
1.16014,800.218,-0.0044585,-3.8147e-06,510878
1.16016,800.227,-0.00428105,2.86102e-06,510885
1.16017,800.236,-0.0041065,0,510892
1.16019,800.245,-0.00384764,4.76837e-06,510898
1.16021,800.252,-0.00351484,1.62125e-05,510904
1.16022,800.26,-0.00315494,8.58307e-06,510910
1.16023,800.266,-0.00276576,-5.72205e-06,510915
1.16024,800.271,-0.00244619,-1.33514e-05,510919
1.16025,800.276,-0.00218103,-8.58307e-06,510923
1.16026,800.28,-0.00188624,-2.86102e-06,510926
1.16027,800.284,-0.00150013,-1.90735e-06,510929
1.16027,800.287,-0.00115267,9.53674e-06,510931
1.16028,800.289,-0.000958201,2.19345e-05,510933
1.16028,800.291,-0.000817321,2.09808e-05,510935
1.16028,800.293,-0.000598851,1.33514e-05,510936
1.16028,800.294,-0.000326302,0,510937
1.16028,800.294,-9.14322e-05,-4.76837e-06,510937
1.16001,800.152,-0.00125695,1.90735e-06,510826
1.16002,800.155,-0.00427703,-8.58307e-06,510829
1.16003,800.162,-0.00636973,-2.86102e-06,510834
1.16005,800.17,-0.00729061,1.90735e-06,510840
1.16007,800.179,-0.00765156,1.62125e-05,510848
1.16008,800.188,-0.00779132,1.14441e-05,510855
1.1601,800.198,-0.00783209,-2.86102e-06,510863
1.16012,800.208,-0.00769733,-9.53674e-07,510870
1.16014,800.218,-0.00739868,5.72205e-06,510878
1.16016,800.227,-0.00712282,7.62939e-06,510885
1.16017,800.236,-0.00680214,9.53674e-07,510892
1.16019,800.244,-0.00635965,5.72205e-06,510898
1.16021,800.252,-0.00581141,7.62939e-06,510904
1.16022,800.259,-0.00520981,9.53674e-06,510910
1.16023,800.265,-0.00462735,8.58307e-06,510915
1.16024,800.271,-0.00406289,-9.53674e-07,510919
1.16025,800.276,-0.00356948,-8.58307e-06,510923
1.16026,800.28,-0.00308419,-1.23978e-05,510926
1.16027,800.284,-0.00251515,-1.90735e-06,510929
1.16027,800.287,-0.00200285,1.81198e-05,510931
1.16028,800.289,-0.00162668,3.91006e-05,510933
1.16028,800.291,-0.00128292,3.8147e-05,510935
1.16028,800.292,-0.000917393,2.47955e-05,510936
1.16028,800.293,-0.000504753,1.04904e-05,510936
1.16028,800.294,-0.000145999,9.53674e-07,510937
1.16001,800.154,-0.00172593,-9.53674e-07,510828
1.16002,800.158,-0.00559992,-3.8147e-06,510831
1.16004,800.163,-0.00846847,-1.90735e-06,510835
1.16005,800.17,-0.0100388,8.58307e-06,510841
1.16007,800.179,-0.0106995,7.62939e-06,510848
1.16008,800.189,-0.0109146,-7.62939e-06,510855
1.1601,800.198,-0.01093,-1.43051e-05,510863
1.16012,800.208,-0.0107236,-7.62939e-06,510870
1.16014,800.217,-0.0103559,2.86102e-06,510878
1.16016,800.227,-0.00996697,1.52588e-05,510885
1.16017,800.236,-0.00951497,1.62125e-05,510891
1.16019,800.244,-0.00889137,-4.76837e-06,510898
1.1602,800.252,-0.00810511,-9.53674e-06,510904
1.16022,800.259,-0.00730609,-1.33514e-05,510910
1.16023,800.265,-0.00652687,-9.53674e-06,510914
1.16024,800.27,-0.00573657,-1.62125e-05,510919
1.16025,800.275,-0.00500086,-1.52588e-05,510923
1.16026,800.28,-0.00427404,-9.53674e-06,510926
1.16026,800.283,-0.0035299,2.86102e-06,510929
1.16027,800.286,-0.00286533,2.47955e-05,510931
1.16027,800.289,-0.00231201,4.95911e-05,510933
1.16028,800.291,-0.00177496,4.95911e-05,510934
1.16028,800.292,-0.00121507,3.91006e-05,510935
1.16028,800.293,-0.000670566,2.47955e-05,510936
1.16028,800.293,-0.000211781,2.00272e-05,510936
1.16001,800.157,-0.00226809,-6.67572e-06,510830
1.16003,800.16,-0.00692947,8.58307e-06,510833
1.16004,800.165,-0.0103244,5.72205e-06,510837
1.16005,800.172,-0.0124043,9.53674e-07,510842
1.16007,800.18,-0.0135567,4.76837e-06,510848
1.16008,800.189,-0.0140223,-9.53674e-07,510855
1.1601,800.198,-0.0140333,-8.58307e-06,510863
1.16012,800.208,-0.0137719,-1.23978e-05,510870
1.16014,800.217,-0.0133261,9.53674e-07,510877
1.16016,800.226,-0.0128176,4.76837e-06,510884
1.16017,800.235,-0.0122148,1.90735e-06,510891
1.16019,800.243,-0.0113853,-1.52588e-05,510898
1.1602,800.251,-0.01038,-1.71661e-05,510904
1.16022,800.258,-0.00939926,-2.86102e-05,510909
1.16023,800.264,-0.00843045,-3.91006e-05,510914
1.16024,800.27,-0.00745271,-4.3869e-05,510918
1.16025,800.275,-0.00646245,-3.05176e-05,510922
1.16026,800.279,-0.00544361,-1.23978e-05,510925
1.16026,800.283,-0.00453042,1.14441e-05,510928
1.16027,800.286,-0.00372756,3.24249e-05,510930
1.16027,800.288,-0.00300673,4.57764e-05,510932
1.16028,800.29,-0.00227481,5.24521e-05,510934
1.16028,800.291,-0.00151502,4.95911e-05,510935
1.16028,800.293,-0.000846966,4.3869e-05,510936
1.16028,800.293,-0.000267356,3.33786e-05,510936
1.16001,800.16,-0.00284938,-5.72205e-06,510833
1.16003,800.163,-0.00832171,0,510835
1.16004,800.168,-0.0120326,2.86102e-06,510839
1.16006,800.174,-0.0144775,-1.90735e-06,510844
1.16007,800.181,-0.016028,-1.90735e-06,510849
1.16009,800.189,-0.016858,6.67572e-06,510856
1.1601,800.198,-0.0171229,-4.76837e-06,510862
1.16012,800.207,-0.0168546,-1.62125e-05,510870
1.16014,800.216,-0.0162835,-1.04904e-05,510877
1.16015,800.226,-0.0156401,-7.62939e-06,510884
1.16017,800.234,-0.0148568,-6.67572e-06,510891
1.16019,800.242,-0.0138509,-1.81198e-05,510897
1.1602,800.25,-0.0126653,-3.33786e-05,510903
1.16021,800.257,-0.0114818,-2.86102e-05,510908
1.16023,800.263,-0.0103238,-4.29153e-05,510913
1.16024,800.269,-0.00914881,-5.24521e-05,510917
1.16025,800.274,-0.0078719,-4.95911e-05,510921
1.16025,800.278,-0.00664534,-2.67029e-05,510925
1.16026,800.282,-0.00555568,-3.8147e-06,510927
1.16027,800.285,-0.00460466,8.58307e-06,510930
1.16027,800.288,-0.00370451,3.43323e-05,510932
1.16028,800.289,-0.00276828,4.3869e-05,510933
1.16028,800.291,-0.00184735,4.95911e-05,510934
1.16028,800.292,-0.00105293,4.86374e-05,510935
1.16028,800.293,-0.000345136,4.57764e-05,510936
1.16002,800.164,-0.00345471,-1.14441e-05,510836
1.16004,800.167,-0.00973419,-2.19345e-05,510838
1.16005,800.171,-0.0136508,-9.53674e-06,510841
1.16006,800.176,-0.016323,-7.62939e-06,510845
1.16007,800.182,-0.0182162,-1.04904e-05,510850
1.16009,800.19,-0.0194351,-6.67572e-06,510856
1.1601,800.198,-0.0199589,-7.62939e-06,510862
1.16012,800.207,-0.0198092,-1.81198e-05,510869
1.16014,800.216,-0.0192383,-2.47955e-05,510876
1.16015,800.225,-0.0184321,-2.76566e-05,510883
1.16017,800.233,-0.0174186,-2.00272e-05,510890
1.16018,800.241,-0.0162795,-1.43051e-05,510896
1.1602,800.249,-0.0149559,-1.81198e-05,510902
1.16021,800.255,-0.0135747,-2.09808e-05,510907
1.16022,800.262,-0.0122185,-2.86102e-05,510912
1.16023,800.268,-0.0107949,-4.1008e-05,510917
1.16024,800.272,-0.00928354,-5.72205e-05,510921
1.16025,800.277,-0.0078668,-5.43594e-05,510924
1.16026,800.281,-0.00661443,-4.19617e-05,510927
1.16027,800.284,-0.00547862,-3.24249e-05,510929
1.16027,800.287,-0.00437627,4.76837e-06,510931
1.16027,800.289,-0.00326975,4.3869e-05,510933
1.16028,800.29,-0.00222578,5.81741e-05,510934
1.16028,800.291,-0.0012874,5.53131e-05,510935
1.16028,800.292,-0.00042291,4.3869e-05,510935
1.16002,800.168,-0.00406642,-1.90735e-05,510839
1.16004,800.17,-0.0110712,-2.57492e-05,510841
1.16006,800.174,-0.0151679,-1.81198e-05,510844
1.16007,800.178,-0.0180426,-1.81198e-05,510847
1.16008,800.184,-0.0201867,-1.33514e-05,510852
1.16009,800.191,-0.0216837,-6.67572e-06,510857
1.1601,800.198,-0.0225039,-1.23978e-05,510863
1.16012,800.207,-0.0226834,-2.19345e-05,510869
1.16013,800.215,-0.02219,-1.52588e-05,510876
1.16015,800.224,-0.0211601,-1.90735e-05,510883
1.16017,800.232,-0.0199373,-1.04904e-05,510889
1.16018,800.24,-0.018692,3.8147e-06,510895
1.1602,800.247,-0.017272,-4.76837e-06,510901
1.16021,800.254,-0.0156792,3.8147e-06,510906
1.16022,800.26,-0.0140852,8.58307e-06,510911
1.16023,800.266,-0.0124338,-1.90735e-05,510916
1.16024,800.271,-0.01075,-5.62668e-05,510920
1.16025,800.276,-0.00913918,-7.15256e-05,510923
1.16026,800.28,-0.00767332,-5.24521e-05,510926
1.16026,800.283,-0.00633214,-3.14713e-05,510928
1.16027,800.285,-0.0050493,8.58307e-06,510930
1.16027,800.287,-0.00381423,4.95911e-05,510932
1.16028,800.289,-0.00266574,6.10352e-05,510933
1.16028,800.29,-0.00156105,5.81741e-05,510934
1.16028,800.291,-0.000497827,3.8147e-05,510935
1.16002,800.172,-0.00464011,-1.23978e-05,510843
1.16005,800.174,-0.0123558,-2.47955e-05,510844
1.16006,800.177,-0.0166416,-2.38419e-05,510846
1.16007,800.181,-0.0196395,-3.14713e-05,510849
1.16008,800.186,-0.0219323,-1.71661e-05,510853
1.16009,800.193,-0.0236973,-1.43051e-05,510858
1.1601,800.199,-0.0248133,-1.23978e-05,510864
1.16012,800.207,-0.0252093,-1.43051e-05,510869
1.16013,800.214,-0.0248461,2.86102e-06,510875
1.16015,800.222,-0.0238175,4.76837e-06,510882
1.16016,800.231,-0.0224896,2.86102e-06,510888
1.16018,800.239,-0.0210852,9.53674e-06,510894
1.16019,800.246,-0.0194923,1.90735e-06,510900
1.16021,800.253,-0.0177551,1.81198e-05,510905
1.16022,800.259,-0.015965,2.76566e-05,510910
1.16023,800.264,-0.0141034,-1.90735e-06,510914
1.16024,800.27,-0.0122087,-4.76837e-05,510918
1.16025,800.274,-0.0104216,-6.38962e-05,510922
1.16026,800.278,-0.00875712,-5.24521e-05,510925
1.16026,800.281,-0.00721523,-2.38419e-05,510927
1.16027,800.284,-0.00577327,1.33514e-05,510929
1.16027,800.286,-0.0044122,3.71933e-05,510931
1.16027,800.288,-0.00312014,4.673e-05,510932
1.16028,800.289,-0.00185674,4.76837e-05,510933
1.16028,800.29,-0.000610576,4.19617e-05,510934
1.16002,800.177,-0.00517622,-1.81198e-05,510846
1.16005,800.177,-0.0136775,-1.71661e-05,510846
1.16007,800.18,-0.0180991,-2.76566e-05,510848
1.16008,800.184,-0.0211252,-2.00272e-05,510851
1.16009,800.189,-0.0235474,-1.71661e-05,510855
1.1601,800.194,-0.0255239,-1.04904e-05,510860
1.16011,800.2,-0.0269421,0,510864
1.16012,800.207,-0.0275031,6.67572e-06,510870
1.16013,800.214,-0.0272394,6.67572e-06,510875
1.16015,800.221,-0.0263761,9.53674e-06,510881
1.16016,800.229,-0.0250443,8.58307e-06,510887
1.16018,800.237,-0.0234154,6.67572e-06,510893
1.16019,800.244,-0.0216757,9.53674e-06,510899
1.1602,800.251,-0.0198016,2.57492e-05,510904
1.16021,800.257,-0.0178344,4.3869e-05,510909
1.16023,800.263,-0.0157924,1.33514e-05,510913
1.16024,800.268,-0.0136843,-3.05176e-05,510917
1.16024,800.272,-0.0117028,-4.19617e-05,510920
1.16025,800.276,-0.00987954,-4.673e-05,510923
1.16026,800.28,-0.00816183,-2.76566e-05,510926
1.16026,800.282,-0.00654767,-2.86102e-06,510928
1.16027,800.285,-0.00503621,-3.8147e-06,510930
1.16027,800.286,-0.0035857,1.90735e-06,510931
