t(secs),mass_residual
0,1
0.00015,1
0.0003,1
0.00045,1
0.0006,1
0.00075,1
0.0009,1
0.00105,1
0.0012,1
0.00135,1
0.0015,1
0.00165,1
0.0018,1
0.00195,1
0.0021,1
0.00225,1
0.0024,1
0.00255,1
0.0027,1
0.00285,1
0.003,1
0.00315,1
0.0033,1
0.00345,1
0.0036,1
0.00375,1
0.0039,1
0.00405,1
0.0042,1
0.00435,1
0.0045,1
0.00465,1
0.0048,1
0.00495,1
0.0051,1
0.00525,1
0.0054,1
0.00555,1
0.0057,1
0.00585,1
0.006,1
0.00615,1
0.0063,1
0.00645,1
0.0066,1
0.00675,1
0.0069,1
0.00705,1
0.0072,1
0.00735,1
0.0075,1
0.00765,1
0.0078,1
0.00795,1
0.0081,1
0.00825,1
0.0084,1
0.00855,1
0.0087,1
0.00885,1
0.009,1
0.00915,1
0.0093,1
0.00945,1
0.0096,1
0.00975,1
0.0099,1
0.01005,1
0.0102,1
0.01035,1
0.0105,1
0.01065,1
0.0108,1
0.01095,1
0.0111,1
0.01125,1
0.0114,1
0.01155,1
0.0117,1
0.01185,1
0.012,1
0.01215,1
0.0123,1
0.01245,1
0.0126,1
0.01275,1
0.0129,1
0.01305,1
0.0132,1
0.01335,1
0.0135,1
0.01365,1
0.0138,1
0.01395,1
0.0141,1
0.01425,1
0.0144,1
0.01455,1
0.0147,1
0.01485,1
0.015,1
0.01515,1
0.0153,1
0.01545,1
0.0156,1
0.01575,1
0.0159,1
0.01605,1
0.0162,1
0.01635,1
0.0165,1
0.01665,1
0.0168,1
0.01695,1
0.0171,1
0.01725,1
0.0174,1
0.01755,1
0.0177,1
0.01785,1
0.018,1
0.01815,1
0.0183,1
0.01845,1
0.0186,1
0.01875,1
0.0189,1
0.01905,1
0.0192,1
0.01935,1
0.0195,1
0.01965,1
0.0198,1
0.01995,1
0.0201,1
0.02025,1
0.0204,1
0.02055,1
0.0207,1
0.02085,1
0.021,1
0.02115,1
0.0213,1
0.02145,1
0.0216,1
0.02175,1
0.0219,1
0.02205,1
0.0222,1
0.02235,1
0.0225,1
0.02265,1
0.0228,1
0.02295,1
0.0231,1
0.02325,1
0.0234,1
0.02355,1
0.0237,1
0.02385,1
0.024,1
0.02415,1
0.0243,1
0.02445,1
0.0246,1
0.02475,1
0.0249,1
0.02505,1
0.0252,1
0.02535,1
0.0255,1
0.02565,1
0.0258,1
0.02595,1
0.0261,1
0.02625,1
0.0264,1
0.02655,1
0.0267,1
0.02685,1
0.027,1
0.02715,1
0.0273,1
0.02745,1
0.0276,1
0.02775,1
0.0279,1
0.02805,1
0.0282,1
0.02835,1
0.0285,1
0.02865,1
0.0288,1
0.02895,1
0.0291,1
0.02925,1
0.0294,1
0.02955,1
0.0297,1
0.02985,1
0.03,1
0.03015,1
0.0303,1
0.03045,1
0.0306,1
0.03075,1
0.0309,1
0.03105,1
0.0312,1
0.03135,1
0.0315,1
0.03165,1
0.0318,1
0.03195,0.999999
0.0321,1
0.03225,1
0.0324,1
0.03255,1
0.0327,1
0.03285,1
0.033,1
0.03315,1
0.0333,0.999999
0.03345,1
0.0336,1
0.03375,0.999999
0.0339,0.999999
0.03405,0.999999
0.0342,0.999999
0.03435,0.999998
0.0345,0.999999
0.03465,0.999999
0.0348,0.999999
0.03495,0.999999
0.0351,0.999999
0.03525,0.999999
0.0354,0.999999
0.03555,0.999999
0.0357,0.999999
0.03585,0.999999
0.036,0.999999
0.03615,0.999999
0.0363,0.999999
0.03645,0.999998
0.0366,0.999998
0.03675,0.999999
0.0369,0.999998
0.03705,0.999999
0.0372,0.999999
0.03735,0.999999
0.0375,0.999999
0.03765,0.999998
0.0378,0.999999
0.03795,0.999998
0.0381,0.999998
0.03825,0.999997
0.0384,0.999997
0.03855,0.999997
0.0387,0.999997
0.03885,0.999998
0.039,0.999997
0.03915,0.999997
0.0393,0.999997
0.03945,0.999997
0.0396,0.999997
0.03975,0.999996
0.0399,0.999996
0.04005,0.999996
0.0402,0.999995
0.04035,0.999995
0.0405,0.999995
0.04065,0.999995
0.0408,0.999995
0.04095,0.999995
0.0411,0.999994
0.04125,0.999994
0.0414,0.999993
0.04155,0.999993
0.0417,0.999993
0.04185,0.999993
0.042,0.999993
0.04215,0.999992
0.0423,0.999993
0.04245,0.999991
0.0426,0.999991
0.04275,0.999991
0.0429,0.99999
0.04305,0.99999
0.0432,0.99999
0.04335,0.99999
0.0435,0.999989
0.04365,0.999988
0.0438,0.999988
0.04395,0.999988
0.0441,0.999987
0.04425,0.999986
0.0444,0.999985
0.04455,0.999986
0.0447,0.999985
0.04485,0.999985
0.045,0.999983
0.04515,0.999983
0.0453,0.999982
