X(m),density,pressure,temperature,Mach,net_velocity
0,0.947474,0.927266,0.978671,2.04845,2.02649
0.04,0.947474,0.927266,0.978671,2.04845,2.02649
0.08,0.947474,0.927266,0.978672,2.04845,2.02649
0.12,0.947474,0.927266,0.978672,2.04845,2.02649
0.16,0.947474,0.927266,0.978672,2.04845,2.02649
0.2,0.947474,0.927267,0.978672,2.04845,2.02649
0.24,0.947474,0.927267,0.978672,2.04845,2.02648
0.28,0.947474,0.927266,0.978672,2.04845,2.02649
0.32,0.947474,0.927266,0.978672,2.04845,2.02648
0.36,0.947475,0.927268,0.978673,2.04845,2.02648
0.4,0.947476,0.92727,0.978673,2.04844,2.02648
0.44,0.947478,0.927272,0.978674,2.04844,2.02648
0.48,0.94748,0.927275,0.978675,2.04844,2.02648
0.52,0.947482,0.927279,0.978677,2.04844,2.02648
0.56,0.947485,0.927282,0.978678,2.04843,2.02648
0.6,0.947487,0.927285,0.978678,2.04843,2.02648
0.64,0.94749,0.927289,0.97868,2.04843,2.02647
0.68,0.947492,0.927293,0.978681,2.04843,2.02647
0.72,0.947495,0.927296,0.978682,2.04842,2.02647
0.76,0.947497,0.927299,0.978683,2.04842,2.02647
0.8,0.947498,0.927301,0.978684,2.04842,2.02647
0.84,0.947498,0.927301,0.978684,2.04842,2.02647
0.88,0.947495,0.927297,0.978682,2.04843,2.02648
0.92,0.947479,0.927274,0.978675,2.04845,2.02649
0.96,0.947413,0.927185,0.978649,2.04854,2.02656
1,0.947126,0.926811,0.978551,2.04885,2.02676
1.04,0.945296,0.924803,0.978321,2.04936,2.02702
1.08,0.937701,0.91756,0.978521,2.04851,2.02639
1.12,0.931015,0.911119,0.97863,2.04835,2.02634
1.16,0.924446,0.904713,0.978654,2.04834,2.02636
1.2,0.917877,0.898269,0.978637,2.04841,2.02641
1.24,0.911284,0.891779,0.978597,2.04852,2.02648
1.28,0.904642,0.88522,0.978531,2.04866,2.02655
1.32,0.897895,0.878518,0.978419,2.04889,2.02666
1.36,0.891005,0.871606,0.978228,2.04946,2.02703
1.4,0.883945,0.864427,0.97792,2.05056,2.02779
1.44,0.877094,0.857585,0.977756,2.05096,2.02802
1.48,0.871322,0.852368,0.978247,2.04876,2.02635
1.52,0.867675,0.850178,0.979836,2.04502,2.0243
1.56,0.871666,0.854429,0.980226,2.04422,2.0239
1.6,0.87948,0.862557,0.980757,2.04302,2.02327
1.64,0.887654,0.871687,0.982013,2.03977,2.02134
1.68,0.898481,0.884048,0.983936,2.03472,2.01832
1.72,0.91253,0.900824,0.987173,2.02669,2.01365
1.76,0.931243,0.924174,0.992409,2.01428,2.00662
1.8,0.956798,0.957253,1.00048,1.99563,1.99611
1.84,0.991794,1.00424,1.01254,1.9682,1.9805
1.88,1.03937,1.07045,1.0299,1.92955,1.95819
1.92,1.10285,1.16145,1.05314,1.87748,1.92672
1.96,1.16782,1.25621,1.07569,1.82941,1.89738
2,1.21693,1.32733,1.09072,1.79887,1.87869
2.04,1.24529,1.36674,1.09752,1.78723,1.87235
2.08,1.25297,1.37891,1.10052,1.78255,1.87
2.12,1.25607,1.38323,1.10124,1.78287,1.87094
2.16,1.25359,1.37945,1.1004,1.78494,1.87239
2.2,1.24806,1.37098,1.0985,1.78911,1.87515
2.24,1.2396,1.35801,1.09553,1.7955,1.8793
2.28,1.22804,1.34035,1.09145,1.80422,1.88491
2.32,1.21295,1.31744,1.08614,1.81545,1.89203
2.36,1.19454,1.2896,1.07958,1.8292,1.9006
2.4,1.17327,1.25766,1.07192,1.84519,1.91039
2.44,1.14973,1.2226,1.06338,1.863,1.92113
2.48,1.12478,1.18577,1.05423,1.88202,1.93238
2.52,1.09909,1.14819,1.04468,1.90186,1.94388
2.56,1.07295,1.11032,1.03482,1.92239,1.95557
2.6,1.04663,1.07246,1.02468,1.94367,1.96751
2.64,1.02004,1.03465,1.01433,1.96566,1.97969
2.68,0.993485,0.997375,1.00392,1.988,1.99188
2.72,0.967799,0.961743,0.993743,2.00995,2.00366
2.76,0.943681,0.928615,0.984034,2.03065,2.01438
2.8,0.92164,0.898636,0.97504,2.04943,2.02369
2.84,0.901499,0.871512,0.966737,2.06685,2.03219
2.88,0.882716,0.84646,0.958927,2.08425,2.041
2.92,0.86481,0.822782,0.951402,2.10279,2.05106
2.96,0.848222,0.801003,0.944331,2.12122,2.06134
3,0.835141,0.783999,0.938763,2.13428,2.0679
3.04,0.828494,0.775553,0.936099,2.13971,2.07021
3.08,0.828494,0.775552,0.936099,2.13971,2.07021
3.12,0.835141,0.783999,0.938763,2.13428,2.0679
